,glucose,carbs,insulin,exercise,stress,meal_insulin_delay,active_insulin,carb_impact
2024-01-01 00:00:00,100,0,0.0,0,0.0,0,0.0,0.0
2024-01-01 00:05:00,99,0,0.0,0,0.0,0,0.0,0.0
2024-01-01 00:10:00,98,0,0.0,0,0.0,0,0.0,0.0
2024-01-01 00:15:00,98,0,0.0,0,0.0,0,0.0,0.0
2024-01-01 00:20:00,98,0,0.0,0,0.0,0,0.0,0.0
2024-01-01 00:25:00,98,0,0.0,0,0.0,0,0.0,0.0
2024-01-01 00:30:00,98,0,0.0,0,0.0,0,0.0,0.0
2024-01-01 00:35:00,98,0,0.0,0,0.0,0,0.0,0.0
2024-01-01 00:40:00,98,0,0.0,0,0.0,0,0.0,0.0
2024-01-01 00:45:00,98,0,0.0,0,0.0,0,0.0,0.0
2024-01-01 00:50:00,97,0,0.0,0,0.0,0,0.0,0.0
2024-01-01 00:55:00,97,0,0.0,0,0.0,0,0.0,0.0
2024-01-01 01:00:00,97,0,0.0,0,0.0,0,0.0,0.0
2024-01-01 01:05:00,97,0,0.0,0,0.0,0,0.0,0.0
2024-01-01 01:10:00,96,0,0.0,0,0.0,0,0.0,0.0
2024-01-01 01:15:00,96,0,0.0,0,0.0,0,0.0,0.0
2024-01-01 01:20:00,96,0,0.0,0,0.0,0,0.0,0.0
2024-01-01 01:25:00,96,0,0.0,0,0.0,0,0.0,0.0
2024-01-01 01:30:00,96,0,0.0,0,0.0,0,0.0,0.0
2024-01-01 01:35:00,96,0,0.0,0,0.0,0,0.0,0.0
2024-01-01 01:40:00,96,0,0.0,0,0.0,0,0.0,0.0
2024-01-01 01:45:00,96,0,0.0,0,0.0,0,0.0,0.0
2024-01-01 01:50:00,96,0,0.0,0,0.0,0,0.0,0.0
2024-01-01 01:55:00,96,0,0.0,0,0.0,0,0.0,0.0
2024-01-01 02:00:00,96,0,0.0,0,0.0,0,0.0,0.0
2024-01-01 02:05:00,95,0,0.0,0,0.0,0,0.0,0.0
2024-01-01 02:10:00,95,0,0.0,0,0.0,0,0.0,0.0
2024-01-01 02:15:00,95,0,0.0,0,0.0,0,0.0,0.0
2024-01-01 02:20:00,95,0,0.0,0,0.0,0,0.0,0.0
2024-01-01 02:25:00,95,0,0.0,0,0.0,0,0.0,0.0
2024-01-01 02:30:00,95,0,0.0,0,0.0,0,0.0,0.0
2024-01-01 02:35:00,95,0,0.0,0,0.0,0,0.0,0.0
